id,lesson,lesson_title,context,point,meaning,formation,jlpt,example_jp,example_en,nuance,textbook
190,15,Living in the information society,downsides of social media,〜ことだ,should / the best thing is to ~ (advice),Verb dictionary / ない + ことだ,N3,上手になりたいなら、毎日練習することだ。,"If you want to get good, you should practice every day.",Direct advice/recommendation.,"できる日本語 中級 本冊"
191,15,Living in the information society,worrying about info risks,〜てしかたがない／〜てしょうがない,can't help ~; extremely (uncontrollable feeling),Verb て / Adj くて + しかたがない／しょうがない,N3,彼に会いたくてしかたがない。,I want to see him so badly I can't stand it.,"しょうがない is more casual. Cf. てたまらない, てならない.","できる日本語 中級 本冊"
192,15,Living in the information society,worrying about info risks,〜代わりに,instead of / in exchange for,Verb dictionary / Noun の + 代わりに,N3,肉を食べる代わりに、魚を食べる。,"Instead of eating meat, I eat fish.",Substitution or a compensating trade-off.,"できる日本語 中級 本冊"
193,15,Living in the information society,worrying about info risks,〜としたら／〜とすれば／〜とすると,if we assume / supposing that ~,plain form + としたら,N3,宝くじが当たったとしたら、何に使う？,"If you won the lottery, what would you spend it on?",A hypothetical premise for reasoning.,"できる日本語 中級 本冊"
194,15,Living in the information society,worrying about info risks,〜かねない,might well ~ / there's a danger of (something bad),Verb ますstem + かねない,N2,無理をすると、病気になりかねない。,"If you overdo it, you might well get sick.",A negative possibility the speaker is concerned about.,"できる日本語 中級 本冊"
195,15,Living in the information society,declining when you can't decide,〜てからでないと／〜てからでなければ,"unless ~ first, (Y can't happen)",Verb て + からでないと／からでなければ,N3,許可をもらってからでないと、入れない。,You can't enter unless you get permission first.,"X is a prerequisite, usually with a negative consequence.","できる日本語 中級 本冊"
196,15,Living in the information society,declining when you can't decide,〜わけにはいかない／〜わけにもいかない,can't (for social/moral reasons) ~,Verb dictionary / ない + わけにはいかない,N2,大事な会議だから、休むわけにはいかない。,"It's an important meeting, so I can't just take the day off.","Impossibility due to circumstance/obligation, not ability.","できる日本語 中級 本冊"
197,16,School life,school-day memories,〜ものだ／〜もんだ,used to ~ (nostalgia); how ~ it is (general truth),Verb た + ものだ（recollection）／Verb dictionary + ものだ（general truth）,N2,子供のころ、よくこの川で泳いだものだ。,"When I was a kid, I used to swim in this river a lot.",Here especially the nostalgic 'used to' sense.,"できる日本語 中級 本冊"
198,16,School life,school-day memories,〜にかけては,when it comes to X (one excels),Noun + にかけては,N2,料理にかけては、彼の右に出る者はいない。,"When it comes to cooking, no one surpasses him.",Almost always a positive evaluation (skill/superiority).,"できる日本語 中級 本冊"
199,16,School life,school-day memories,〜はともかく（として）,"setting X aside / X aside, ~",Noun + はともかく（として）,N2,味はともかく、見た目はいい。,"Taste aside, it looks good.",Defers X to focus on something more important.,"できる日本語 中級 本冊"
200,16,School life,opinion on a post,〜ないことはない／〜ないこともない,it's not that ~ can't / it's possible (with reservation),Verb ない / Adj くない + ことはない,N3,頑張れば、できないことはない。,It's not as if you can't do it if you try.,Cautious double-negative affirmation.,"できる日本語 中級 本冊"
201,16,School life,opinion on a post,〜も〜ば〜も／〜も〜なら〜も,both X and Y; there's X and also Y,Noun + も + conditional ば + Noun + も,N2,お金もなければ、時間もない。,I have neither money nor time.,Lists two parallel items (often two reasons or conditions).,"できる日本語 中級 本冊"
202,16,School life,exam-season news,〜にわたって／〜にわたり／〜にわたる,over / spanning / throughout (a range or period),Noun + にわたって／にわたる + Noun,N2,会議は三日間にわたって行われた。,The conference was held over three days.,Emphasizes the extent or scope of a span.,"できる日本語 中級 本冊"
203,16,School life,exam-season news,〜きる／〜きれる／〜きれない,to do completely; (un)able to finish doing,Verb ますstem + きる／きれる／きれない,N2,多すぎて、一人では食べきれない。,It's too much; I can't finish it alone.,Completion to the very end; きれない = can't manage to fully.,"できる日本語 中級 本冊"
204,16,School life,exam-season news,〜にもかかわらず,despite / even though,Noun / plain form + にもかかわらず,N2,努力したにもかかわらず、失敗した。,"Despite making an effort, I failed.",Formal; the result contradicts expectation.,"できる日本語 中級 本冊"
205,16,School life,encouraging someone,〜からいうと／〜からいって／〜からいえば,judging from / from the standpoint of X,Noun + からいうと,N2,経験からいうと、この方法が一番いい。,"Judging from experience, this method is best.","States a basis/viewpoint for judgment (for a person's feelings, use からすると).","できる日本語 中級 本冊"
206,16,School life,encouraging someone,〜となると／〜となれば／〜となったら,when it comes to / if it becomes the case that ~,Noun / plain form + となると,N2,留学するとなると、お金が必要だ。,"When it comes to studying abroad, you need money.",Considers consequences once a situation is realized/assumed.,"できる日本語 中級 本冊"
207,16,School life,encouraging someone,〜次第だ／〜次第で,depends on / depending on X,Noun + 次第だ／次第で,N2,成功するかどうかは、努力次第だ。,Whether you succeed depends on your effort.,Outcome is determined by X. (Different from ますstem+次第 'as soon as.'),"できる日本語 中級 本冊"
208,16,School life,new ideas in education,〜ぬく,to do thoroughly / all the way through (despite difficulty),Verb ますstem + ぬく,N2,最後まで考えぬいて、答えを出した。,I thought it through to the very end and reached an answer.,Perseverance through hardship to completion. Cf. きる (neutral).,"できる日本語 中級 本冊"
209,16,School life,new ideas in education,〜つつ,while ~ing; though (= つつも),Verb ますstem + つつ,N2,景色を楽しみつつ、歩いた。,I walked while enjoying the scenery.,Written/formal version of ながら; can also mean 'even though' (つつも).,"できる日本語 中級 本冊"
210,17,Working,views on work,〜（っ）きりだ（それだけ）,only ~ / just ~ and nothing more,Noun + （っ）きり／Verb た + きり,N2,二人きりで話した。,We talked just the two of us.,Here the 'only that' sense.,"できる日本語 中級 本冊"
211,17,Working,views on work,〜てはじめて,only after ~ / not until ~ (did I realize/could I),Verb て + はじめて,N2,失ってはじめて、その大切さに気づいた。,Only after losing it did I realize its importance.,X is the trigger that makes Y possible or realized.,"できる日本語 中級 本冊"
212,17,Working,views on work,〜にすぎない,is no more than / merely ~,Noun / plain form + にすぎない,N2,それは言い訳にすぎない。,That's nothing more than an excuse.,Downplays X as trivial or limited.,"できる日本語 中級 本冊"
213,17,Working,job-hunting pamphlet,〜にあたって／〜にあたり,on the occasion of / when (doing something important),Verb dictionary / Noun + にあたって,N2,卒業するにあたって、先生にお礼を言った。,"On the occasion of graduating, I thanked my teacher.",Formal; before a significant action or event.,"できる日本語 中級 本冊"
214,17,Working,job-hunting pamphlet,〜を問わず,regardless of / irrespective of,Noun + を問わず,N2,年齢を問わず、誰でも参加できる。,"Anyone can participate, regardless of age.",Formal; X makes no difference. Often with paired opposites (男女を問わず).,"できる日本語 中級 本冊"
215,17,Working,job-hunting pamphlet,〜上で,after ~ing / upon ~; in doing,Verb た / Noun の + 上で,N2,よく考えた上で、返事します。,I'll reply after thinking it over carefully.,Does Y on the basis of having done X first.,"できる日本語 中級 本冊"
216,17,Working,job-hunting pamphlet,〜反面,on the other hand / while (two opposite sides),"plain form + 反面（なAdj+な/である, Noun+である）",N2,便利な反面、危険もある。,"While it's convenient, there's also danger.",Two contrasting aspects of one thing.,"できる日本語 中級 本冊"
217,17,Working,explaining with examples,〜というか,or rather / how should I put it,plain form / Noun + というか,N2,うれしいというか、ほっとした。,"Happy, or rather, relieved.",Rephrases or hedges to find a more fitting description.,"できる日本語 中級 本冊"
218,17,Working,explaining with examples,〜以上（は）／〜上は,now that / since X (then naturally/obligation Y),plain form + 以上は,N2,引き受けた以上は、最後までやる。,"Now that I've taken it on, I'll see it through.","Strong resolve/obligation, similar to からには.","できる日本語 中級 本冊"
219,17,Working,explaining with examples,〜限り／〜限りの,as far as / as long as / to the extent of,Verb dictionary / Noun の + 限り,N2,私の知る限り、彼は正直だ。,"As far as I know, he's honest.",Bounds a statement by a limit or scope.,"できる日本語 中級 本冊"
220,17,Working,polite request email,〜ていただけないでしょうか,could you possibly ~ for me? (very polite request),Verb て + いただけないでしょうか,N3,少し待っていただけないでしょうか。,Could you possibly wait a moment?,"A highly polite, humble request.","できる日本語 中級 本冊"
221,17,Working,polite request email,〜ところ（を）,(even though you're) in the middle of ~ (politeness),Verb dictionary / Adj / Noun の + ところを,N2,お忙しいところを、ありがとうございます。,Thank you even though you're busy.,Set politeness phrase acknowledging the other's situation.,"できる日本語 中級 本冊"
222,17,Working,phone call to arrange meeting,〜ていただけないかと思って,I was wondering if you could ~ (softened opener),Verb て + いただけないかと思って,N3,ご相談に乗っていただけないかと思って、お電話しました。,"I was wondering if you could give me some advice, so I called.","An indirect, humble way to open a request (often on the phone).","できる日本語 中級 本冊"
223,18,Living on the planet (environment),environmental problems,〜つつ（も）,even though / although,Verb ますstem + つつも,N2,体に悪いと知りつつも、たばこをやめられない。,"Even though I know it's bad for me, I can't quit smoking.",つつも emphasizes the contradiction (vs. つつ 'while').,"できる日本語 中級 本冊"
224,18,Living on the planet (environment),environmental problems,〜っぱなし,leaving something ~; keep ~ing continuously,Verb ますstem + っぱなし,N2,電気をつけっぱなしで寝てしまった。,I fell asleep with the light left on.,Often a negative nuance of negligence or unbroken continuation.,"できる日本語 中級 本冊"
225,18,Living on the planet (environment),environmental problems,〜ことなく,without ~ing (formal),Verb dictionary + ことなく,N2,彼は休むことなく働き続けた。,He kept working without resting.,Written/formal equivalent of ないで.,"できる日本語 中級 本冊"
226,18,Living on the planet (environment),environmental problems,〜上（に）,on top of / in addition to,"plain form + 上に（なAdj+な/である, Noun+の/である）",N2,この店は安い上に、おいしい。,"This place is cheap, and on top of that, tasty.",Adds a second point in the same (positive or negative) direction.,"できる日本語 中級 本冊"
227,18,Living on the planet (environment),giving away items,〜向き,suited to / facing,Noun + 向き,N3,この本は初心者向きだ。,This book is suited to beginners.,Cf. 向け (made specifically for); 向き = naturally suitable. Also 'facing' (南向き).,"できる日本語 中級 本冊"
228,18,Living on the planet (environment),giving away items,〜（よ）うにも〜ない,"even if one tries to ~, one can't",Verb volitional + にも + potential negative,N2,忙しくて、休もうにも休めない。,"I'm so busy that even if I wanted to rest, I can't.","Inability despite intention, due to circumstance.","できる日本語 中級 本冊"
229,18,Living on the planet (environment),cause & effect in nature,〜にしたがって,"as X progresses, Y; in accordance with",Verb dictionary / Noun + にしたがって,N2,年を取るにしたがって、体力が落ちる。,"As you age, your stamina declines.","Proportional change, or compliance with rules.","できる日本語 中級 本冊"
230,18,Living on the planet (environment),cause & effect in nature,〜にほかならない,is nothing other than / is precisely ~,Noun + にほかならない,N2,成功は努力の結果にほかならない。,Success is nothing other than the result of effort.,Emphatic assertion that X is exactly the cause/identity.,"できる日本語 中級 本冊"
231,18,Living on the planet (environment),cause & effect in nature,〜あげく,"after (much) ~, in the end (often a bad result)",Verb た / Noun の + あげく,N2,さんざん迷ったあげく、買わないことにした。,"After agonizing over it, in the end I decided not to buy it.",A negative/unfortunate outcome after a prolonged process.,"できる日本語 中級 本冊"
232,18,Living on the planet (environment),cause & effect in nature,〜ようがない,there's no way to ~,Verb ますstem + ようがない,N2,連絡先がわからないので、知らせようがない。,"I don't know the contact info, so there's no way to let them know.",Impossibility because no method exists.,"できる日本語 中級 本冊"
233,18,Living on the planet (environment),nature you want to protect,〜わけがない,there's no way that ~ / it can't possibly be,"plain form + わけがない（なAdj+な, Noun+である）",N3,彼がそんなうそをつくわけがない。,There's no way he'd tell such a lie.,Strong logical denial of a possibility.,"できる日本語 中級 本冊"
234,18,Living on the planet (environment),nature you want to protect,〜ことだろう／〜ことか,how ~ (it must be)! (exclamation of degree),plain form + ことか（なAdj+な; often どんなに/なんと + ...）,N2,合格して、どんなにうれしかったことか。,How happy I was to pass!,An emotional exclamation of degree.,"できる日本語 中級 本冊"
235,18,Living on the planet (environment),nature you want to protect,〜に違いない,must be / I'm sure that ~,"plain form + に違いない（なAdj/Noun, drop だ）",N3,電気がついているから、家にいるに違いない。,"The light's on, so they must be home.","A strong, confident inference based on evidence.","できる日本語 中級 本冊"
236,19,The Power of Science,reading about the fascinating side of everyday science,〜といえば／〜というと（話題導入）,speaking of ~ (introducing a related topic),Noun + といえば／というと,N3,科学の力といえば、身近な家電にもたくさん使われている。,"Speaking of the power of science, it's used in a lot of everyday appliances too.","Same core pattern as in Lesson 6, here introducing a scientific topic prompted by association.","できる日本語 中級 本冊"
237,19,The Power of Science,giving an opinion on caregiving robots,〜べきだ／〜べきではない／〜べき,should ~ / shouldn't ~ (strong obligation/opinion),Verb dictionary form + べきだ／べきではない,N3,介護ロボットはもっと活用されるべきだ。,Caregiving robots should be utilized more.,Expresses a strong personal or normative judgment about what ought to be done.,"できる日本語 中級 本冊"
238,19,The Power of Science,giving an opinion on caregiving robots,〜ほど〜はない,nothing is as ~ as ~ (superlative comparison),Noun + ほど + Noun + はない,N2,人の手ほど温かいものはない。,Nothing is as warm as a human hand.,"States that the named item is the top/most extreme example within its category, by comparison.","できる日本語 中級 本冊"
239,19,The Power of Science,giving an opinion on caregiving robots,〜（より）ほかない／〜（より）ほかしかたがない,there's no choice but to ~,Verb dictionary form + （より）ほかない／ほかしかたがない,N2,人手が足りないなら、ロボットに頼るよりほかない。,"If there aren't enough people, there's no choice but to rely on robots.","Expresses that the stated action is the only remaining option, often stated with some resignation.","できる日本語 中級 本冊"
240,19,The Power of Science,explaining a broken item and requesting a repair,〜(っ)きり／〜(っ)きりだ（そのまま）,having done ~ and nothing since / just as it was left,Verb た-form + きり／きりだ,N2,落としたきり、電源が入らなくなりました。,"Ever since I dropped it, it hasn't turned on since.","Marks that after a certain action, no further change or action has occurred, often implying a problem persists.","できる日本語 中級 本冊"
241,19,The Power of Science,explaining a broken item and requesting a repair,〜最中に,right in the middle of ~,Verb ている-form／Noun + の + 最中に,N2,使っている最中に、急に画面が消えました。,"Right in the middle of using it, the screen suddenly went black.",Pinpoints an interrupting event occurring precisely during an ongoing action.,"できる日本語 中級 本冊"
242,19,The Power of Science,explaining a broken item and requesting a repair,〜かけだ／〜かけの／〜かける,partway through ~ing / about to ~,Verb ます-stem + かけだ／かけの／かける,N2,修理しかけのまま、放置してしまいました。,"I left it partway through being repaired, unattended.","Describes an action left incomplete, stopped partway through.","できる日本語 中級 本冊"
243,19,The Power of Science,listening about a country's energy policy,〜に伴って／〜に伴い／〜に伴う,along with ~ / as ~ occurs,Noun／plain form + に伴って／に伴い／に伴う,N2,人口増加に伴って、エネルギー需要も増えている。,"Along with population growth, energy demand is also increasing.","Describes a secondary change that accompanies a primary change, common in formal explanations.","できる日本語 中級 本冊"
244,19,The Power of Science,listening about a country's energy policy,〜ざるを得ない,have no choice but to ~,Verb ない-form (drop ない) + ざるを得ない (irregular: する→せざるを得ない),N2,資源が限られている以上、輸入に頼らざるを得ない。,"Given that resources are limited, we have no choice but to rely on imports.",Expresses reluctant obligation — doing something because there's truly no other viable option.,"できる日本語 中級 本冊"
245,19,The Power of Science,listening about a country's energy policy,〜を契機に（して）／〜を契機として,triggered by ~ / taking ~ as an opportunity,Noun + を契機に（して）／を契機として,N1,石油危機を契機に、省エネ政策が進んだ。,"Triggered by the oil crisis, energy-saving policies advanced.",Marks a specific event as the turning point or catalyst that prompted a subsequent change.,"できる日本語 中級 本冊"
246,19,The Power of Science,listening about a country's energy policy,〜をめぐって／〜をめぐり／〜をめぐる,concerning ~ / surrounding the issue of ~,Noun + をめぐって／をめぐり／をめぐる,N2,原子力発電をめぐって、さまざまな意見がある。,There are various opinions surrounding nuclear power generation.,"Marks a contentious or central topic that discussion, conflict, or debate revolves around.","できる日本語 中級 本冊"
247,19,The Power of Science,reading a medical news article,〜上の／〜上,"in terms of ~ / from the standpoint of ~ (revisited, medical/technical register)",Noun + 上の／上,N2,この治療法には技術上の課題がまだ残っている。,This treatment method still has technical challenges remaining.,"Same abstract-domain marker as Lesson 1's 〜上（で）, here used in technical/medical writing.","できる日本語 中級 本冊"
248,20,Affluence and Happiness,discussing priorities for personal happiness,〜あっての〜,~ exists only because of ~ / ~ wouldn't be possible without ~,Noun + あっての + Noun,N1,健康あっての幸せだと思う。,I believe happiness is only possible when you have your health.,Emphasizes that the first noun is an essential precondition without which the second cannot exist.,"できる日本語 中級 本冊"
249,20,Affluence and Happiness,discussing priorities for personal happiness,〜にもまして,more than ~ / even more than ~,Noun + にもまして,N1,お金にもまして、時間が大切だと感じる。,"I feel that, even more than money, time is what's important.","Compares the named item to something else, stating it exceeds it in degree or importance.","できる日本語 中級 本冊"
250,20,Affluence and Happiness,discussing priorities for personal happiness,〜にこしたことはない,it's best if ~ / nothing beats ~ing,plain form + にこしたことはない,N2,貯金は多いにこしたことはない。,"When it comes to savings, more is always better.","States that the given option is ideal, though not necessarily mandatory — a mild recommendation.","できる日本語 中級 本冊"
251,20,Affluence and Happiness,discussing priorities for personal happiness,〜というものではない／〜というものでもない,it's not necessarily the case that ~,plain form + というものではない／というものでもない,N2,お金があれば幸せというものではない。,Having money doesn't necessarily mean you're happy.,"Gently refutes an overly simple or absolute assumption, without denying it entirely.","できる日本語 中級 本冊"
252,20,Affluence and Happiness,reading about quantifying happiness,〜に基づいて／〜に基づく／〜に基づいた,based on ~,Noun + に基づいて／に基づく／に基づいた,N2,このランキングは独自の調査に基づいている。,This ranking is based on original research.,"States the foundation, data, or standard that something is derived from.","できる日本語 中級 本冊"
253,20,Affluence and Happiness,reading about quantifying happiness,〜あまり（に）／あまりの〜に,because of excessive ~ / due to too much ~,plain form／Noun + の + あまり（に）；あまりの + Noun + に,N2,幸せを求めるあまり、大切なものを見失うことがある。,"In one's excessive pursuit of happiness, one can sometimes lose sight of what's important.",Attributes a (often negative) result to an extreme degree of a feeling or action.,"できる日本語 中級 本冊"
254,20,Affluence and Happiness,listening to an executive's interview about their philosophy,〜まい,"I don't think I will ~ / I won't ~ (negative volitional, formal/literary)",Verb dictionary form + まい (irregular: する→するまい／すまい),N1,この信念は決して曲げまい。,I will never bend this belief.,"Formal, firm negative determination, more literary and less common in casual speech than 〜ないつもりだ.","できる日本語 中級 本冊"
255,20,Affluence and Happiness,listening to an executive's interview about their philosophy,〜てでも,even if it means ~ing / going as far as to ~,Verb て-form + でも,N2,無理をしてでも、社員との約束は守りたい。,"Even if it means overexerting myself, I want to keep my promises to my employees.",Expresses willingness to take an extreme measure in order to achieve a goal.,"できる日本語 中級 本冊"
256,20,Affluence and Happiness,listening to an executive's interview about their philosophy,〜末（に）／〜末の,"after (a period of) ~, finally ~",Verb た-form／Noun + の + 末（に）／末の,N2,長年の苦労の末に、会社を成功させた。,"After years of hard struggle, I finally made the company a success.",Marks a long or difficult process leading up to an eventual outcome.,"できる日本語 中級 本冊"
257,20,Affluence and Happiness,reading a profile article about someone's determination,〜てまで／〜までして,even to the extent of ~ing / going so far as to ~,Verb て-form + まで；Noun + までして,N1,家族との時間を犠牲にしてまで、仕事を優先した。,He prioritized work even to the extent of sacrificing time with his family.,"Highlights an extreme, often surprising, lengths someone went to, usually with a critical or admiring nuance.","できる日本語 中級 本冊"
258,20,Affluence and Happiness,reading a profile article about someone's determination,〜のもと（で）／〜のもとに,under ~ / based on ~,Noun + のもと（で）／のもとに,N2,厳しい指導のもとで、彼は技術を磨いた。,"Under strict guidance, he honed his skills.","States the guiding condition, authority, or principle under which something takes place.","できる日本語 中級 本冊"
259,20,Affluence and Happiness,making a reservation as an event organizer,〜ないものでしょうか,couldn't we possibly ~? (very polite indirect request),Verb ない-form + ものでしょうか,N2,少し安くしていただけないものでしょうか。,Would it be at all possible to get a bit of a discount?,"Very indirect, humble way of making a request, softened by phrasing it as a rhetorical question about possibility.","できる日本語 中級 本冊"
1,1,新しい一歩,アルバイトを探す,いらっしゃいます,to be / to go / to come (honorific for いる／行く／来る),いらっしゃいます (special honorific verb),N4,店長は今いらっしゃいますか。,Is the manager in right now?,"Special respectful verb form; used to elevate the other person's existence/action, common when asking about a superior or customer.","できる日本語 初中級 本冊"
2,1,新しい一歩,アルバイトを探す,～と申します,(I) am called ~ (humble self-introduction),Name + と申します,N4,田中と申します。よろしくお願いします。,My name is Tanaka. Nice to meet you.,"Humble form of 言います, used when introducing yourself to someone you don't know well or a superior.","できる日本語 初中級 本冊"
3,1,新しい一歩,アルバイトを探す,～ので、～,because ~ / since ~,plain form (な-Adj/N + な) + ので,N4,初めてなので、少し緊張しています。,"Since it's my first time, I'm a little nervous.",Softer and more polite-sounding than から; common in formal or polite spoken requests and explanations.,"できる日本語 初中級 本冊"
4,1,新しい一歩,アルバイトを探す,～参ります,to go / to come (humble for 行く／来る),参ります (special humble verb),N4,明日の面接には10時に参ります。,I will come to tomorrow's interview at 10 o'clock.,"Humble verb lowering the speaker's own action; used when speaking to someone of higher status, e.g., in job interviews.","できる日本語 初中級 本冊"
5,1,新しい一歩,アルバイトを探す,可能動詞,potential verb (can do ~),"Godan: change う→える row; Ichidan: stem + られる; する→できる, 来る→来られる",N5,この仕事は土日も働けます。,I can also work weekends at this job.,Expresses ability or possibility without using ことができる; more compact and common in everyday conversation.,"できる日本語 初中級 本冊"
6,1,新しい一歩,新しい友達,～のがA,~ing is [adjective] (nominalizing a verb/clause as subject),plain form + の + が + adjective,N4,人と話すのが好きです。,I like talking with people.,の turns the preceding clause into a noun phrase acting as the subject of the adjective.,"できる日本語 初中級 本冊"
7,1,新しい一歩,新しい友達,～のはAです,what is [adjective] is ~ (topic-marked nominalization),plain form + の + は + ～です,N4,私が困っているのは、漢字が読めないことです。,What's troubling me is that I can't read kanji.,"Same nominalizer as ～のが, but marks the clause as the topic (は) rather than the grammatical subject (が); often used to state or clarify a topic.","できる日本語 初中級 本冊"
8,1,新しい一歩,新しい友達,Vるようになります,to reach the point where ~ (change in ability/habit over time),Verb dictionary form + ようになります,N4,毎日練習して、上手に話せるようになりました。,I practiced every day and reached the point where I can speak well.,"Marks a gradual change of state, ability, or habit from 'not' to 'now'; often paired with potential form verbs.","できる日本語 初中級 本冊"
9,2,楽しいショッピング,上手に買い物,Aそうです（様態）,looks like ~ / seems ~ (based on appearance),"い-Adj(-い) + そうです／な-Adj + そうです (irregular: いい→よさそう, ない→なさそう)",N4,このケーキ、おいしそうですね。,"This cake looks delicious, doesn't it?","Judgment made from visual appearance at the moment, not from hearsay; different from the reported-speech ～そうです which attaches to plain form.","できる日本語 初中級 本冊"
10,2,楽しいショッピング,上手に買い物,Vてみます,to try doing ~,Verb て-form + みます,N5,サイズが合うか、着てみてもいいですか。,Can I try it on to see if the size fits?,Expresses trying an action to see the result; て-form of 見る but written in hiragana since it's grammaticalized.,"できる日本語 初中級 本冊"
11,2,楽しいショッピング,上手に買い物,Vてもらえませんか,could you (do something for me)? (polite request),Verb て-form + もらえませんか,N4,違う色を見せてもらえませんか。,Could you show me a different color?,Polite request focusing on receiving a favor; softer/more indirect than ～てください.,"できる日本語 初中級 本冊"
12,2,楽しいショッピング,上手に買い物,Vやすいです,easy to ~,Verb ます-stem + やすいです,N4,このかばんは軽くて持ちやすいです。,This bag is light and easy to carry.,Describes an inherent quality of the object/action that makes it easy to do; opposite of Vにくいです.,"できる日本語 初中級 本冊"
13,2,楽しいショッピング,上手に買い物,Vにくいです,hard to ~ / difficult to ~,Verb ます-stem + にくいです,N4,この靴はちょっと歩きにくいです。,These shoes are a bit hard to walk in.,"Describes an inherent difficulty in doing the action, based on the nature of the object.","できる日本語 初中級 本冊"
14,2,楽しいショッピング,上手に買い物,Aすぎます,too ~ (excessive degree),い-Adj(-い)／な-Adj stem + すぎます,N4,このズボンは私には大きすぎます。,These pants are too big for me.,"Indicates an excessive, often undesirable, degree; also used with verbs (食べすぎます) with the same nuance.","できる日本語 初中級 本冊"
15,2,楽しいショッピング,一緒に食事,Vてあります,"is/has been done (resulting state, intentional)",Verb て-form (transitive) + あります,N4,メニューはテーブルに置いてあります。,The menu has been placed on the table.,"Focuses on the resulting state of a deliberate action someone took, without naming the agent; contrasts with ～ている which focuses on ongoing action or natural state.","できる日本語 初中級 本冊"
16,2,楽しいショッピング,一緒に食事,～と読みます,it is read as ~,Word/kanji + と読みます,N5,この漢字は「たべる」と読みます。,This kanji is read as 'taberu'.,Used to state how a word or character is pronounced.,"できる日本語 初中級 本冊"
17,2,楽しいショッピング,一緒に食事,～と書いてあります,it is written as ~,Phrase + と書いてあります,N4,メニューには「本日のおすすめ」と書いてあります。,The menu has 'today's special' written on it.,Combines と (quotation) with てあります (resulting state); reports the content of written text.,"できる日本語 初中級 本冊"
18,2,楽しいショッピング,一緒に食事,どういう意味ですか／～という意味です,what does it mean? / it means ~,Word + はどういう意味ですか；Word + という意味です,N4,「奢る」ってどういう意味ですか。ーごちそうするという意味です。,What does 'ogoru' mean? — It means to treat someone (to a meal).,Standard set phrase pair for asking about and explaining the meaning of a word or expression.,"できる日本語 初中級 本冊"
19,2,楽しいショッピング,一緒に食事,Nにします,I'll decide on / go with ~,Noun + にします,N5,私はラーメンにします。,I'll go with the ramen.,"Expresses a decision or choice among options, common when ordering food or choosing from a selection.","できる日本語 初中級 本冊"
20,2,楽しいショッピング,一緒に食事,Vすぎです／Vすぎます,~ing too much,Verb ます-stem + すぎです／すぎます,N4,最近、食べすぎです。ちょっと太りました。,I've been eating too much lately. I've gained a little weight.,"Verb version of Aすぎます; describes an excessive amount of an action, often with a negative connotation.","できる日本語 初中級 本冊"
21,3,私の目標,これからの計画,Vたら、～（確定条件）,"when ~ happens (definite/expected condition), then ~",Verb た-form + ら,N4,日本語が上手になったら、日本で働きたいです。,"Once my Japanese improves, I want to work in Japan.","Used for a condition expected to be fulfilled, with the main clause describing what happens/will be done afterward; overlaps with と／ば but is the most flexible and colloquial.","できる日本語 初中級 本冊"
22,3,私の目標,これからの計画,意向形／Vようと思っています,I'm thinking of doing ~ (volitional form),Verb volitional form (う/よう) + と思っています,N4,来年、留学しようと思っています。,I'm thinking of studying abroad next year.,"Expresses an ongoing intention or plan, softer and less firm-sounding than Vるつもりです because it implies the thought is continuing rather than fixed.","できる日本語 初中級 本冊"
23,3,私の目標,これからの計画,Vるつもりです／Vないつもりです,I intend to ~ / I don't intend to ~,Verb dictionary form + つもりです；Verb ない-form + つもりです,N4,卒業したら、国に帰らないつもりです。,"After graduating, I don't intend to go back to my country.",States a firmer personal intention or plan than ようと思っています; commonly used for future plans.,"できる日本語 初中級 本冊"
24,3,私の目標,これからの計画,〈疑問詞〉か、～,(question word) + か (embedded uncertainty),Question word + plain form + か,N4,何を勉強したらいいか、まだ決めていません。,I haven't decided yet what I should study.,"Embeds an unresolved question inside a larger sentence, expressing uncertainty about the specific content.","できる日本語 初中級 本冊"
25,3,私の目標,これからの計画,～かどうか,whether or not ~,plain form + かどうか,N4,奨学金がもらえるかどうか、まだ分かりません。,I still don't know whether or not I can get the scholarship.,Used when the uncertainty is a yes/no question rather than a wh-question (contrast with 疑問詞＋か above).,"できる日本語 初中級 本冊"
26,3,私の目標,夢に向かって,Vるために,in order to ~ (purpose),Verb dictionary form + ために,N4,看護師になるために、専門学校で勉強しています。,I'm studying at a vocational school in order to become a nurse.,"States a purpose or goal behind a deliberate action; the subject of both clauses is normally the same, volitional agent.","できる日本語 初中級 本冊"
27,3,私の目標,夢に向かって,～んですか／〈疑問詞〉～んですか,is it that ~? (explanation-seeking question),plain form + んですか,N4,どうして医者になりたいんですか。,Why is it that you want to become a doctor?,"Softer, more conversational way to ask for an explanation or reason than a plain question; implies the asker noticed something and wants elaboration.","できる日本語 初中級 本冊"
28,3,私の目標,夢に向かって,Vなければなりません,must do ~ / have to do ~,Verb ない-form (drop い) + ければなりません,N4,大学に入るためには、試験に合格しなければなりません。,"In order to get into university, I have to pass the exam.",Standard obligation form; slightly more formal-sounding than the colloquial contraction なきゃいけません.,"できる日本語 初中級 本冊"
29,4,住んでいる町で,生活を楽しむ,～んですが、～,"the thing is, ~ (softening a statement before a request/question)",plain form + んですが、～,N4,近くにいい病院を探しているんですが、知りませんか。,"The thing is, I'm looking for a good hospital nearby—do you happen to know one?","Sets up background context before a request or question, making the follow-up sound more natural and less abrupt.","できる日本語 初中級 本冊"
