vocab,reading,english,my_meaning,example_jp,example_en,example,lesson,page,textbook
空ける,あける,to leave open,"to make room / leave (space, time) open",隣（となり）の席（せき）を一（ひと）つ空（あ）ける。,I leave the next seat open.,,14,28,できる日本語 中級 本冊
不注意（な）,ふちゅうい,carelessness,careless / inattentive,不注意（ふちゅうい）な運転（うんてん）は事故（じこ）のもとだ。,Careless driving leads to accidents.,,14,28,できる日本語 中級 本冊
思わず,おもわず,unintentionally,involuntarily / without thinking,おかしくて思（おも）わず笑（わら）ってしまった。,It was so funny I couldn't help laughing.,,14,28,できる日本語 中級 本冊
～流,～りゅう,style,,,,（江戸しぐさ流）style (Edo body language style),14,28,できる日本語 中級 本冊
うかつ（な）,うかつ,inadvertent,careless / thoughtless / off one's guard,うかつなことを言（い）ってしまった。,I let something thoughtless slip out.,,14,28,できる日本語 中級 本冊
研修する,けんしゅうする,to train,to undergo training (for a job),新入社員（しんにゅうしゃいん）が一週間（いっしゅうかん）研修（けんしゅう）する。,New employees train for a week.,,14,28,できる日本語 中級 本冊
円滑（な）,えんかつ,smooth,smooth / harmonious (without friction),仕事（しごと）を円滑（えんかつ）に進（すす）める。,I keep the work running smoothly.,,14,28,できる日本語 中級 本冊
会計,かいけい,to pay the bill,the bill / checkout; accounting,お会計（かいけい）をお願（ねが）いします。,"Check, please.",,14,28,できる日本語 中級 本冊
割り勘,わりかん,split (the bill),,飲（の）み会（かい）は割（わ）り勘（かん）にした。,We split the bill at the get-together.,,14,28,できる日本語 中級 本冊
服装,ふくそう,clothes,attire / dress / what one wears,面接（めんせつ）には地味（じみ）な服装（ふくそう）で行（い）く。,I wear plain attire to the interview.,,14,28,できる日本語 中級 本冊
交通機関,こうつうきかん,public transport,,公共（こうきょう）の交通機関（こうつうきかん）を利用（りよう）する。,I use public transport.,,14,28,できる日本語 中級 本冊
かご,かご,basket,,,,,14,28,できる日本語 中級 本冊
ばさっと,ばさっと,with a thump,,,,,14,28,できる日本語 中級 本冊
さっと,さっと,quickly,quickly / swiftly (in one motion),彼（かれ）はさっと席（せき）を立（た）った。,He swiftly stood up from his seat.,,14,28,できる日本語 中級 本冊
洋品店,ようひんてん,clothing store,,,,,14,28,できる日本語 中級 本冊
ブラウス,ブラウス,blouse,,,,,14,28,できる日本語 中級 本冊
ハンガー,ハンガー,hanger,,,,,14,28,できる日本語 中級 本冊
するっと,するっと,smoothly,,,,,14,28,できる日本語 中級 本冊
元通り,もとどおり,former state,back to how it was / as before,壊（こわ）れた物（もの）を元通（もとどお）りに直（なお）す。,I fix the broken thing back to how it was.,,14,28,できる日本語 中級 本冊
さりげない,さりげない,casually,casual / unobtrusive / nonchalant,彼（かれ）のさりげない優（やさ）しさに気付（きづ）いた。,I noticed his unobtrusive kindness.,,14,28,できる日本語 中級 本冊
気を配る,きをくばる,to be mindful,"to pay attention to / be considerate of (details, others)",お客様（きゃくさま）に気（き）を配（くば）る。,I'm attentive to the customers.,,14,28,できる日本語 中級 本冊
大事（な）,だいじ,important,,大事（だいじ）な書類（しょるい）をなくしてしまった。,I lost an important document.,,14,28,できる日本語 中級 本冊
入社する,にゅうしゃする,to join a company,,彼（かれ）は今年（ことし）の春（はる）に入社（にゅうしゃ）した。,He joined the company this spring.,,14,28,できる日本語 中級 本冊
～式,～しき,ceremony,,,,（入学式）ceremony (school entrance ceremony),14,28,できる日本語 中級 本冊
ぴかっと,ぴかっと,(onomatopoeia for something lighting up instantaneously),,,,,14,28,できる日本語 中級 本冊
光る,ひかる,to light up,to shine / glow / flash,夜空（よぞら）に星（ほし）が光（ひか）っている。,Stars are shining in the night sky.,,14,28,できる日本語 中級 本冊
ぽつぽつ,ぽつぽつ,pitter patter,,,,,14,28,できる日本語 中級 本冊
大粒,おおつぶ,large drop,large-grained / big drops,大粒（おおつぶ）の雨（あめ）が降（ふ）り出（だ）した。,Big raindrops started falling.,,14,28,できる日本語 中級 本冊
動き出す,うごきだす,to start to move,,電車（でんしゃ）がゆっくり動（うご）き出（だ）した。,The train slowly started moving.,,14,28,できる日本語 中級 本冊
仲がいい,なかがいい,get on well,to be close / on good terms,あの姉妹（しまい）はとても仲（なか）がいい。,Those sisters are very close.,,14,28,できる日本語 中級 本冊
気になる,きになる,to be worried,to be bothered by / curious about / on one's mind,試験（しけん）の結果（けっか）が気（き）になる。,The exam results are on my mind.,,14,28,できる日本語 中級 本冊
一斉に,いっせいに,all together,all at once / simultaneously,号令（ごうれい）で全員（ぜんいん）が一斉（いっせい）に動（うご）いた。,"On the command, everyone moved at once.",,14,28,できる日本語 中級 本冊
焼き上がる,やきあがる,to be baked,,パンがちょうど焼（や）き上（あ）がった。,The bread has just finished baking.,,14,28,できる日本語 中級 本冊
案,あん,proposal,a plan / proposal / idea,いい案（あん）が思（おも）い浮（う）かんだ。,A good idea came to me.,,14,28,できる日本語 中級 本冊
食パン,しょくパン,sandwich loaf,,,,,14,28,できる日本語 中級 本冊
見当たらない,みあたらない,cannot find,to be nowhere to be found,探（さが）しても鍵（かぎ）が見当（みあ）たらない。,"No matter how I search, the keys are nowhere to be found.",,14,28,できる日本語 中級 本冊
焼きたて,やきたて,freshly-baked,,焼（や）きたてのパンはいい匂（にお）いがする。,Freshly-baked bread smells wonderful.,,14,28,できる日本語 中級 本冊
アレルギー,アレルギー,allergy,,,,,14,28,できる日本語 中級 本冊
定食,ていしょく,set meal,,,,,14,28,できる日本語 中級 本冊
煮魚,にざかな,stewed fish,,,,,14,28,できる日本語 中級 本冊
焼き魚,やきざかな,grilled fish,,,,,14,28,できる日本語 中級 本冊
異文化,いぶんか,other cultures,a different / foreign culture,異文化（いぶんか）を理解（りかい）するのは難（むずか）しい。,Understanding a different culture is hard.,,14,28,できる日本語 中級 本冊
適応する,てきおうする,to adjust,to adapt / adjust (to an environment),新（あたら）しい環境（かんきょう）に少（すこ）しずつ適応（てきおう）する。,I gradually adapt to the new environment.,,14,28,できる日本語 中級 本冊
曲線,きょくせん,curve,,,,,14,28,できる日本語 中級 本冊
～期,～き,period,,,,（ハネムーン期）period (honeymoon period),14,28,できる日本語 中級 本冊
ハネムーン,ハネムーン,honeymoon,,,,,14,28,できる日本語 中級 本冊
帰国する,きこくする,to return to one's country,,三年（さんねん）ぶりに帰国（きこく）した。,I returned home for the first time in three years.,,14,28,できる日本語 中級 本冊
カルチャーショック,カルチャーショック,culture shock,,,,,14,28,できる日本語 中級 本冊
間近（な）,まぢか,close at hand,close at hand / imminent / up close,卒業（そつぎょう）が間近（まぢか）に迫（せま）る。,Graduation is drawing near.,,14,28,できる日本語 中級 本冊
感情,かんじょう,feeling,emotion / feelings,彼（かれ）は感情（かんじょう）を表（おもて）に出（だ）さない。,He doesn't show his emotions.,,14,28,できる日本語 中級 本冊
次第に,しだいに,little by little,gradually / by degrees,痛（いた）みが次第（しだい）に消（き）えていった。,The pain gradually faded.,,14,28,できる日本語 中級 本冊
起こる,おこる,to happen,,昨夜（さくや）この近（ちか）くで事故（じこ）が起（お）こった。,An accident happened near here last night.,,14,28,できる日本語 中級 本冊
興奮する,こうふんする,to be excited,to get excited / worked up,試合（しあい）を見（み）て興奮（こうふん）した。,I got excited watching the match.,,14,28,できる日本語 中級 本冊
そういえば,そういえば,come to think of it,now that you mention it / that reminds me,そういえば、彼（かれ）に連絡（れんらく）するのを忘（わす）れていた。,That reminds me — I forgot to contact him.,,14,28,できる日本語 中級 本冊
遭う,あう,to encounter,to meet with / run into (esp. something bad),旅行中（りょこうちゅう）に事故（じこ）に遭（あ）った。,I met with an accident during the trip.,,14,29,できる日本語 中級 本冊
上向く,うわむく,to look up,"to turn upward; to improve (economy, mood)",ようやく景気（けいき）が上向（うわむ）いてきた。,The economy is finally picking up.,,14,29,できる日本語 中級 本冊
差,さ,difference,a gap / difference (in degree),二人（ふたり）の実力（じつりょく）には大（おお）きな差（さ）がある。,There's a big gap in ability between the two.,,14,29,できる日本語 中級 本冊
責任,せきにん,responsibility,,最後（さいご）まで責任（せきにん）を果（は）たす。,I fulfill my responsibility to the end.,,14,29,できる日本語 中級 本冊
持つ,もつ,to take,,,,（責任を持つ）to take (to take responsibility),14,29,できる日本語 中級 本冊
ボクシング,ボクシング,boxing,,,,,14,29,できる日本語 中級 本冊
感心する,かんしんする,to be impressed,to be impressed / admire (someone's effort),彼（かれ）の努力（どりょく）には感心（かんしん）する。,I'm impressed by his effort.,,14,29,できる日本語 中級 本冊
ほんの,ほんの,mere,just / a mere / only (a small amount),ほんの少（すこ）しだけ味見（あじみ）した。,I tasted just a little.,,14,29,できる日本語 中級 本冊
境内,けいだい,the grounds of a shrine,,,,,14,29,できる日本語 中級 本冊
しいんと,しいんと,(onomatopoeia for complete silence),,,,,14,29,できる日本語 中級 本冊
がらりと,がらりと,dramatically,completely / dramatically (a sudden change),部屋（へや）の雰囲気（ふんいき）ががらりと変（か）わった。,The room's atmosphere changed completely.,,14,29,できる日本語 中級 本冊
散る,ちる,"to fall (leaves, blossom)",,風（かぜ）で桜（さくら）の花（はな）が散（ち）る。,The cherry blossoms scatter in the wind.,,14,29,できる日本語 中級 本冊
ドーナツ,ドーナツ,donut,,,,,14,29,できる日本語 中級 本冊
開店する,かいてんする,"to open a shop (restaurant, etc.)",,駅前（えきまえ）に新（あたら）しいカフェが開店（かいてん）した。,A new café opened in front of the station.,,14,29,できる日本語 中級 本冊
壁新聞,かべしんぶん,wall newspaper,,,,,15,30,できる日本語 中級 本冊
マジック,マジック,magic marker,"a marker pen (Japanese sense, from 'magic marker' — not 'magic')",,,,15,30,できる日本語 中級 本冊
上部,じょうぶ,top,the upper part / top section,ページの上部（じょうぶ）に見出（みだ）しを書（か）く。,I write the heading at the top of the page.,,15,30,できる日本語 中級 本冊
見出し,みだし,title,a headline / heading,新聞（しんぶん）の見出（みだ）しだけ読（よ）む。,I read only the newspaper headlines.,,15,30,できる日本語 中級 本冊
日付,ひづけ,date,,書類（しょるい）に今日（きょう）の日付（ひづけ）を書（か）く。,I write today's date on the document.,,15,30,できる日本語 中級 本冊
平成,へいせい,Heisei era (from 1989),,,,,15,30,できる日本語 中級 本冊
翌日,よくじつ,the following day,,台風（たいふう）の翌日（よくじつ）も雨（あめ）だった。,It rained the day after the typhoon too.,,15,30,できる日本語 中級 本冊
新聞社,しんぶんしゃ,newspaper company,,,,,15,30,できる日本語 中級 本冊
死亡する,しぼうする,to die,"to die / pass away (formal, news register)",事故（じこ）で多（おお）くの人（ひと）が死亡（しぼう）した。,Many people died in the accident.,,15,30,できる日本語 中級 本冊
行方不明,ゆくえふめい,missing,missing / whereabouts unknown,地震（じしん）で大勢（おおぜい）が行方不明（ゆくえふめい）になった。,Many people went missing in the earthquake.,,15,30,できる日本語 中級 本冊
浸かる,つかる,to be submerged,to be soaked/submerged; to soak (in a bath),温泉（おんせん）にゆっくり浸（つ）かる。,I soak slowly in the hot spring.,,15,30,できる日本語 中級 本冊
～機,～き,machine,,,,（印刷機）machine (printing press),15,30,できる日本語 中級 本冊
発行する,はっこうする,to issue,"to issue / publish (a paper, ticket, certificate)",この新聞（しんぶん）は毎日（まいにち）発行（はっこう）される。,This newspaper is published daily.,,15,30,できる日本語 中級 本冊
安否,あんぴ,safety,(someone's) safety / well-being,災害後（さいがいご）、家族（かぞく）の安否（あんぴ）を確認（かくにん）する。,"After the disaster, I check on my family's safety.",,15,30,できる日本語 中級 本冊
存在する,そんざいする,to exist,,そんな証拠（しょうこ）は存在（そんざい）しない。,No such evidence exists.,,15,30,できる日本語 中級 本冊
否定する,ひていする,to deny,to deny / negate,彼（かれ）はその事実（じじつ）を強（つよ）く否定（ひてい）した。,He firmly denied the fact.,,15,30,できる日本語 中級 本冊
決断する,けつだんする,to decide,to make a firm decision / resolve,悩（なや）んだ末（すえ）に留学（りゅうがく）を決断（けつだん）した。,"After agonizing, I decided to study abroad.",,15,30,できる日本語 中級 本冊
泥水,どろみず,muddy water,,,,,15,30,できる日本語 中級 本冊
警察,けいさつ,police,,,,,15,30,できる日本語 中級 本冊
訪ねる,たずねる,to visit,,久（ひさ）しぶりに恩師（おんし）を訪（たず）ねた。,I visited my old teacher after a long time.,,15,30,できる日本語 中級 本冊
配給する,はいきゅうする,to distribute,to distribute / ration (supplies),避難所（ひなんじょ）で食料（しょくりょう）を配給（はいきゅう）する。,Food is distributed at the shelter.,,15,30,できる日本語 中級 本冊
正確（な）,せいかく,accurate,,正確（せいかく）な情報（じょうほう）を伝（つた）える。,I convey accurate information.,,15,30,できる日本語 中級 本冊
紙面,しめん,space (page),(newspaper) page space / column space,紙面（しめん）が限（かぎ）られているので短（みじか）くまとめる。,"Page space is limited, so I keep it short.",,15,30,できる日本語 中級 本冊
フレーズ,フレーズ,phrase,,,,,15,30,できる日本語 中級 本冊
パニック,パニック,panic,,,,,15,30,できる日本語 中級 本冊
自ら,みずから,oneself,(by) oneself / personally / of one's own accord,社長（しゃちょう）が自（みずか）ら現場（げんば）に足（あし）を運（はこ）んだ。,The president went to the site himself.,,15,30,できる日本語 中級 本冊
ライフライン,ライフライン,lifeline,,,,,15,30,できる日本語 中級 本冊
物資,ぶっし,supplies,supplies / goods / materials,被災地（ひさいち）に救援（きゅうえん）物資（ぶっし）を届（とど）ける。,We deliver relief supplies to the disaster area.,,15,30,できる日本語 中級 本冊
供給する,きょうきゅうする,to provide,"to supply / provide (goods, power)",水（みず）と電気（でんき）を安定（あんてい）して供給（きょうきゅう）する。,We supply water and power steadily.,,15,30,できる日本語 中級 本冊
支え合い,ささえあい,mutual support,supporting one another / mutual aid,災害時（さいがいじ）は近所（きんじょ）の支（ささ）え合（あ）いが大切（たいせつ）だ。,"In a disaster, neighbors supporting each other matters.",,15,30,できる日本語 中級 本冊
乗り切る,のりきる,to overcome,to get through / pull through (a hard time),みんなで困難（こんなん）を乗（の）り切（き）った。,We got through the hardship together.,,15,30,できる日本語 中級 本冊
激励する,げきれいする,to encourage,to encourage / cheer on (formal),監督（かんとく）が選手（せんしゅ）を激励（げきれい）した。,The coach encouraged the players.,,15,30,できる日本語 中級 本冊
通常,つうじょう,normally,normally / usually; regular (operation),明日（あした）は通常（つうじょう）どおり営業（えいぎょう）します。,Tomorrow we'll operate as usual.,,15,30,できる日本語 中級 本冊
～か所,～かしょ,place,,,,（６か所）place (6 places),15,30,できる日本語 中級 本冊
貼り出す,はりだす,to stick up,to post up / put up (a notice),合格者（ごうかくしゃ）の名前（なまえ）を貼（は）り出（だ）す。,They post up the names of those who passed.,,15,30,できる日本語 中級 本冊
報道する,ほうどうする,"to report, to cover",,各社（かくしゃ）がその事件（じけん）を大（おお）きく報道（ほうどう）した。,Every outlet reported the incident extensively.,,15,30,できる日本語 中級 本冊
永久保存する,えいきゅうほぞんする,to preserve permanently,,大切（たいせつ）な写真（しゃしん）を永久保存（えいきゅうほぞん）する。,I save the precious photos permanently.,,15,30,できる日本語 中級 本冊
使命,しめい,mission,a mission / calling / duty,記者（きしゃ）としての使命（しめい）を果（は）たす。,I fulfill my duty as a reporter.,,15,30,できる日本語 中級 本冊
発達する,はったつする,to develop,"to develop / advance (technology, skills)",通信技術（つうしんぎじゅつ）が急速（きゅうそく）に発達（はったつ）した。,Communication technology advanced rapidly.,,15,30,できる日本語 中級 本冊
洪水,こうずい,flood,,,,（情報の洪水）flood (flood of information),15,30,できる日本語 中級 本冊
改めて,あらためて,anew,again / anew; on another occasion,改（あらた）めて自分（じぶん）の生活（せいかつ）を見直（みなお）す。,I take a fresh look at my own lifestyle.,,15,30,できる日本語 中級 本冊
疑う,うたがう,to doubt,,最初（さいしょ）は彼（かれ）の話（はなし）を疑（うたが）った。,At first I doubted his story.,,15,30,できる日本語 中級 本冊
発信する,はっしんする,to transmit,"to send out / transmit (info, a message)",SNSで自分（じぶん）の意見（いけん）を発信（はっしん）する。,I put out my opinions on social media.,,15,30,できる日本語 中級 本冊
欠かせない,かかせない,indispensable,essential / can't do without,スマホは今（いま）の生活（せいかつ）に欠（か）かせない。,Smartphones are indispensable to life today.,,15,30,できる日本語 中級 本冊
ツイッター,ツイッター,Twitter,,,,,15,30,できる日本語 中級 本冊
信頼する,しんらいする,to trust,,信頼（しんらい）できる情報源（じょうほうげん）を選（えら）ぶ。,I choose trustworthy sources.,,15,30,できる日本語 中級 本冊
ジャンル,ジャンル,genre,,,,,15,30,できる日本語 中級 本冊
メディア,メディア,media,,,,,15,30,できる日本語 中級 本冊
マスメディア,マスメディア,mass media,,,,,15,30,できる日本語 中級 本冊
依存する,いぞんする,to have a dependence,to depend on / be dependent (or addicted),スマホに依存（いぞん）しすぎている。,I'm too dependent on my phone.,,15,30,できる日本語 中級 本冊
犯罪,はんざい,crime,,ネットを使（つか）った犯罪（はんざい）が増（ふ）えている。,Crimes using the internet are increasing.,,15,30,できる日本語 中級 本冊
今や,いまや,nowadays,now / by now (emphatic 'these days'),スマホは今（いま）や生活（せいかつ）の必需品（ひつじゅひん）だ。,Smartphones are now a necessity of life.,,15,30,できる日本語 中級 本冊
新た（な）,あらた,new,new / fresh / renewed,次々（つぎつぎ）と新（あら）たな問題（もんだい）が生（しょう）じる。,New problems keep arising one after another.,,15,30,できる日本語 中級 本冊
指摘する,してきする,to pinpoint,"to point out / note (a problem, error)",会議（かいぎ）でミスを指摘（してき）された。,My mistake was pointed out in the meeting.,,15,30,できる日本語 中級 本冊
いつの間にか,いつのまにか,before you realize it,,いつの間（ま）にか日（ひ）が暮（く）れていた。,"Before I knew it, the sun had set.",,15,30,できる日本語 中級 本冊
負担する,ふたんする,to burden,"to bear / shoulder (a cost, burden)",送料（そうりょう）は店（みせ）が負担（ふたん）する。,The shop covers the shipping cost.,,15,30,できる日本語 中級 本冊
現象,げんしょう,phenomenon,,最近（さいきん）、不思議（ふしぎ）な現象（げんしょう）が続（つづ）く。,Strange phenomena have continued lately.,,15,30,できる日本語 中級 本冊
次々,つぎつぎ,one after another,one after another / in rapid succession,注文（ちゅうもん）が次々（つぎつぎ）と入（はい）る。,Orders come in one after another.,,15,30,できる日本語 中級 本冊
投稿する,とうこうする,to post,,撮（と）った写真（しゃしん）をSNSに投稿（とうこう）する。,I post the photos I took on social media.,,15,30,できる日本語 中級 本冊
焦る,あせる,to feel pressure,to feel rushed / panicky / impatient,時間（じかん）がなくて焦（あせ）ってしまう。,I get flustered with no time to spare.,,15,30,できる日本語 中級 本冊
常に,つねに,constantly,always / at all times,常（つね）に最新（さいしん）の情報（じょうほう）を確認（かくにん）する。,I always check the latest information.,,15,30,できる日本語 中級 本冊
アクセスする,アクセスする,to access,,,,,15,30,できる日本語 中級 本冊
知らぬ間に,しらぬまに,before you know it,before you know it / without your noticing,知（し）らぬ間（ま）にうわさが広（ひろ）がっていた。,The rumor had spread before I knew it.,,15,30,できる日本語 中級 本冊
本来,ほんらい,by rights,originally / by nature / properly speaking,本来（ほんらい）の目的（もくてき）を見失（みうしな）う。,I lose sight of the original purpose.,,15,30,できる日本語 中級 本冊
一見,いっけん,at a glance,at first glance / seemingly,一見（いっけん）簡単（かんたん）そうだが、実（じつ）は難（むずか）しい。,"It looks easy at first glance, but it's actually hard.",,15,30,できる日本語 中級 本冊
息苦しさ,いきぐるしさ,feeling of being smothered,a stifling / suffocating feeling,常（つね）につながっていることに息苦（いきぐる）しさを感（かん）じる。,I feel suffocated by being constantly connected.,,15,30,できる日本語 中級 本冊
置く,おく,to place,,,,（距離を置く）to place (to place at arm's length),15,30,できる日本語 中級 本冊
結局,けっきょく,in the end,,結局（けっきょく）、その日（ひ）は何（なに）も決（き）まらなかった。,"In the end, nothing was decided that day.",,15,30,できる日本語 中級 本冊
削る,けずる,to cut back,,,,（時間を削る）to cut back (to cut back on time spent doing something),15,31,できる日本語 中級 本冊
バックアップする,バックアップする,to back up,,,,,15,31,できる日本語 中級 本冊
データ,データ,data,,,,,15,31,できる日本語 中級 本冊
うそ,うそ,lie,,友達（ともだち）にうそをついてはいけない。,You mustn't lie to your friends.,,15,31,できる日本語 中級 本冊
つく,つく,to tell,,,,（うそをつく）to tell (to tell a lie),15,31,できる日本語 中級 本冊
ソーシャルメディア,ソーシャルメディア,social media,,,,,15,31,できる日本語 中級 本冊
ステルスマーケティング,ステルスマーケティング,stealth marketing,,,,,15,31,できる日本語 中級 本冊
略,りゃく,abbreviation,an abbreviation / short form,ステマは「ステルスマーケティング」の略（りゃく）だ。,'Sutema' is short for 'stealth marketing.',,15,31,できる日本語 中級 本冊
広告する,こうこくする,to advertise,,新商品（しんしょうひん）をネットで広告（こうこく）する。,We advertise the new product online.,,15,31,できる日本語 中級 本冊
気付く,きづく,to realize,to notice / realize,計算（けいさん）の間違（まちが）いに気付（きづ）いた。,I noticed an error in the calculation.,,15,31,できる日本語 中級 本冊
印象付ける,いんしょうづける,to give a good impression of,to leave/create an impression (of),商品（しょうひん）を消費者（しょうひしゃ）に強（つよ）く印象付（いんしょうづ）ける。,It strongly imprints the product on consumers.,,15,31,できる日本語 中級 本冊
心理,しんり,psychology,psychology / a state of mind,広告（こうこく）は消費者（しょうひしゃ）の心理（しんり）を利用（りよう）する。,Ads exploit consumer psychology.,,15,31,できる日本語 中級 本冊
意図する,いとする,to intend to,to intend / aim (to do),意図（いと）的（てき）に誤（あやま）った情報（じょうほう）を流（なが）す。,They deliberately spread false information.,,15,31,できる日本語 中級 本冊
見抜く,みぬく,to detect,"to see through / detect (a lie, trick)",彼（かれ）のうそをすぐに見抜（みぬ）いた。,I saw through his lie at once.,,15,31,できる日本語 中級 本冊
ポイントカード,ポイントカード,loyalty card,,,,,15,31,できる日本語 中級 本冊
個人情報,こじんじょうほう,personal information,,個人情報（こじんじょうほう）の取（と）り扱（あつか）いに注意（ちゅうい）する。,I'm careful with handling personal information.,,15,31,できる日本語 中級 本冊
生年月日,せいねんがっぴ,date of birth,,,,,15,31,できる日本語 中級 本冊
ついでに,ついでに,in passing,while you're at it / on the same occasion,買（か）い物（もの）のついでに郵便局（ゆうびんきょく）に寄（よ）る。,I drop by the post office while I'm out shopping.,,15,31,できる日本語 中級 本冊
分析する,ぶんせきする,to analyze,,集（あつ）めたデータを細（こま）かく分析（ぶんせき）する。,I analyze the collected data in detail.,,15,31,できる日本語 中級 本冊
漏れる,もれる,to leak,"to leak out / escape (info, liquid, light)",会社（かいしゃ）の情報（じょうほう）が外（そと）に漏（も）れた。,The company's information leaked out.,,15,31,できる日本語 中級 本冊
セキュリティー,セキュリティー,security,,,,,15,31,できる日本語 中級 本冊
ミスする,ミスする,to make a mistake,,,,,15,31,できる日本語 中級 本冊
悪意,あくい,malicious intent,ill will / malice,悪意（あくい）のある書（か）き込（こ）みを削除（さくじょ）する。,I delete malicious posts.,,15,31,できる日本語 中級 本冊
リクエストする,リクエストする,to request,,,,,15,31,できる日本語 中級 本冊
応える,こたえる,to respond,"to respond to / meet (expectations, a request)",ファンの期待（きたい）に応（こた）える。,I live up to the fans' expectations.,,15,31,できる日本語 中級 本冊
晴れる,はれる,to clear,,,,（疑問が晴れる）to clear (a doubt is cleared),15,31,できる日本語 中級 本冊
消去する,しょうきょする,to delete,,間違（まちが）えて大事（だいじ）なデータを消去（しょうきょ）した。,I accidentally deleted important data.,,15,31,できる日本語 中級 本冊
原稿,げんこう,draft,a manuscript / draft (for writing or a speech),締（し）め切（き）りまでに原稿（げんこう）を仕上（しあ）げる。,I finish the manuscript by the deadline.,,15,31,できる日本語 中級 本冊
サイバー攻撃,サイバーこうげき,cyber attack,,会社（かいしゃ）が大（おお）きなサイバー攻撃（こうげき）を受（う）けた。,The company suffered a major cyber attack.,,15,31,できる日本語 中級 本冊
流出する,りゅうしゅつする,to leak,"to leak out / flow out (data, people)",顧客（こきゃく）の個人情報（こじんじょうほう）が流出（りゅうしゅつ）した。,Customers' personal information was leaked.,,15,31,できる日本語 中級 本冊
悪用する,あくようする,to misuse,to misuse / abuse / exploit (for bad ends),他人（たにん）の情報（じょうほう）を悪用（あくよう）する。,to misuse someone else's information.,,15,31,できる日本語 中級 本冊
扱う,あつかう,to handle,to handle / deal with / treat,個人情報（こじんじょうほう）は慎重（しんちょう）に扱（あつか）う。,Personal information must be handled carefully.,,15,31,できる日本語 中級 本冊
余計（な）,よけい,uncalled-for,unnecessary / uncalled-for / excess,余計（よけい）なことを言（い）って後悔（こうかい）した。,I regretted saying something uncalled-for.,,15,31,できる日本語 中級 本冊
記者,きしゃ,reporter,,,,,15,31,できる日本語 中級 本冊
できれば,できれば,if possible,,できれば今日中（きょうじゅう）に終（お）わらせたい。,"If possible, I want to finish it today.",,15,31,できる日本語 中級 本冊
取る,とる,to make,,,,（連絡を取る）to make (to make contact),15,31,できる日本語 中級 本冊
勝手（な）,かって,without permission,selfish / arbitrary / doing as one pleases,勝手（かって）に決（き）めないでください。,Please don't decide on your own.,,15,31,できる日本語 中級 本冊
実物,じつぶつ,the real thing,the actual object / the real thing (vs. a photo),写真（しゃしん）より実物（じつぶつ）のほうがきれいだ。,It's prettier in person than in the photo.,,15,31,できる日本語 中級 本冊
君,きみ,you,you (familiar; used by men to peers or juniors),,,,16,32,できる日本語 中級 本冊
ひょっとすると,ひょっとすると,"maybe, possibly",possibly / it might be that / by some chance,ひょっとすると、彼（かれ）は来（こ）ないかもしれない。,He might possibly not come.,,16,32,できる日本語 中級 本冊
なんとなく,なんとなく,no particular reason,somehow / for no particular reason,なんとなく嫌（いや）な予感（よかん）がする。,I somehow have a bad feeling.,,16,32,できる日本語 中級 本冊
高卒,こうそつ,high school graduate,,,,,16,32,できる日本語 中級 本冊
なぜなら,なぜなら,because,the reason is / because (introduces a reason),行（い）けない。なぜなら、用事（ようじ）があるからだ。,"I can't go, because I have an errand.",,16,32,できる日本語 中級 本冊
おかしな,おかしな,"odd, strange",strange / funny / odd (pre-noun form),おかしな話（はなし）だが、本当（ほんとう）だ。,"It's a strange story, but it's true.",,16,32,できる日本語 中級 本冊
大卒,だいそつ,university graduate,,,,,16,32,できる日本語 中級 本冊
真似する,まねする,to imitate,,子供（こども）は親（おや）の真似（まね）をする。,Children imitate their parents.,,16,32,できる日本語 中級 本冊
業績,ぎょうせき,"accomplishment, achievement",achievements; (business) performance/results,会社（かいしゃ）の業績（ぎょうせき）が伸（の）びている。,The company's performance is improving.,,16,32,できる日本語 中級 本冊
ごまんと,ごまんと,millions,loads of / tons of (informal: a huge number),そんな話（はなし）はごまんとある。,There are tons of stories like that.,,16,32,できる日本語 中級 本冊
要するに,ようするに,in short,in short / to sum up,要（よう）するに、準備（じゅんび）が足（た）りなかった。,"In short, the preparation was lacking.",,16,32,できる日本語 中級 本冊
あやふや（な）,あやふや,vague,vague / uncertain / noncommittal,あやふやな返事（へんじ）でごまかす。,to dodge with a vague answer.,,16,32,できる日本語 中級 本冊
ビジネスマン,ビジネスマン,businessman,,,,,16,32,できる日本語 中級 本冊
マーケティング,マーケティング,marketing,,,,,16,32,できる日本語 中級 本冊
弁護士,べんごし,lawyer,,,,,16,32,できる日本語 中級 本冊
法律,ほうりつ,law,,みんなが法律（ほうりつ）を守（まも）るべきだ。,Everyone should obey the law.,,16,32,できる日本語 中級 本冊
コック,コック,cook,,,,,16,32,できる日本語 中級 本冊
～ら,～ら,indicates a plural,,,,（彼ら）indicates a plural (them),16,32,できる日本語 中級 本冊
せいぜい,せいぜい,at most,at most / at best,ここからせいぜい三十分（さんじゅっぷん）で着（つ）く。,It's 30 minutes away at most.,,16,32,できる日本語 中級 本冊
程度,ていど,extent,degree / extent / level,痛（いた）みの程度（ていど）を医者（いしゃ）に伝（つた）える。,I tell the doctor the degree of pain.,,16,32,できる日本語 中級 本冊
物理,ぶつり,physics,,,,,16,32,できる日本語 中級 本冊
何の,なんの,none,no ~ at all (with neg.); what kind of,何（なん）の問題（もんだい）もない。,There's no problem at all.,,16,32,できる日本語 中級 本冊
